timestamp_utc,directory,file,action,description
2026-09-14T00:00:00Z,bulk-sms-reply-app,settings.gradle.kts,created,Gradle settings - declares app module and plugin repositories
2026-09-14T00:00:00Z,bulk-sms-reply-app,build.gradle.kts,created,Top-level Gradle build file - declares AGP and Kotlin plugin versions
2026-09-14T00:00:00Z,bulk-sms-reply-app,gradle.properties,created,Gradle/AndroidX project properties
2026-09-14T00:00:00Z,bulk-sms-reply-app,.gitignore,created,Standard Android/Gradle ignore rules for future git use
2026-09-14T00:00:00Z,bulk-sms-reply-app,README.md,created,Project overview, build/install instructions, and known limitations
2026-09-14T00:00:00Z,bulk-sms-reply-app,_activity_log.csv,created,This log file - top-level project activity
note,,,,"Per-directory logs for deeper source folders (app/, app/src/main/java/..., app/src/main/res/...) are consolidated into this file and app/_activity_log.csv rather than one CSV per nested folder, to keep the source tree readable. Ask Claude to expand this to a log in every subfolder if you'd prefer that instead."
2026-09-15T00:00:00Z,bulk-sms-reply-app,README.md,updated,Added step-by-step GitHub Actions (no-Android-Studio) build/install instructions as Option A
2026-09-15T00:00:00Z,bulk-sms-reply-app/.github,.github/workflows/build.yml,created,GitHub Actions workflow that auto-builds an installable debug APK
2026-09-16T00:00:00Z,bulk-sms-reply-log-app,(whole project folder),renamed,"Project folder/deliverable renamed from bulk-sms-reply-app to bulk-sms-reply-log-app per Mr. George's request, to reflect the new log/reports features"
2026-09-16T00:00:00Z,bulk-sms-reply-log-app,README.md,updated,Updated title, folder-name references, and added a note explaining the rename and what was deliberately left unchanged
2026-09-16T00:00:00Z,bulk-sms-reply-log-app,app/src/main/res/values/strings.xml,updated,"App display name changed from ""Bulk Text Reply"" to ""Bulk SMS Reply Log"""
2026-09-17T00:00:00Z,bulk-sms-reply-log-app,README.md,updated,"Documented the new app-local ""mark as read"" feature and why it can't sync to the native Messages app yet (added ""About mark-as-read"" section)"
2026-09-17T00:00:00Z,bulk-sms-reply-log-app,README.md,updated,"Documented the Messages tab's new ""Unread only"" filter, ""Select unread"" shortcut, and on-behalf-of attribution label"
2026-09-17T00:00:00Z,(device bridge -> Mr. George's PC repo root),(all project files except .github/*),written,"Wrote the current round 2-4 project directly into C:\Users\George-Plato\Documents\GitHub\bulk-sms-reply-app (repo root) via the device bridge, after finding the real project had only existed one level too deep, inside a duplicate nested bulk-sms-reply-app subfolder left over from an early upload mistake - meaning GitHub Actions likely could not find it to build. Could NOT write .github/workflows/main.yml or .github/_activity_log.csv - Claude's remote file-write tool treats .github as a protected path. main.yml also has a pre-existing bug (a stray non-comment first line) that needs manual fixing - see chat/mvp-status.md for the exact fix given to Mr. George."
2026-09-17T00:00:00Z,(device bridge -> Mr. George's PC repo root),(7 merge-conflicted files),resolved,"Resolved real git merge conflicts in _activity_log.csv, app/_activity_log.csv, MainActivity.kt, SmsRepository.kt, ConversationListScreen.kt, strings.xml, and README.md by keeping the local (round 2-4) side, verified programmatically to match the source project exactly before writing back. Build #7 on GitHub Actions went green afterward and Mr. George installed it successfully."
2026-09-19T00:00:00Z,bulk-sms-reply-app (repo root),debug.keystore,created,"Pinned debug signing keystore (Android's standard well-known debug credentials: alias androiddebugkey, password android) so every build - Android Studio or GitHub Actions - is signed identically. Fixes the ""App not installed"" error Mr. George hit, which was GitHub Actions generating a new throwaway debug key on every run."
2026-09-19T00:00:00Z,bulk-sms-reply-app (repo root),app/build.gradle.kts,updated,Added a signingConfigs.debug block pointing at the new pinned debug.keystore and wired it into buildTypes.debug so future debug builds reuse the same signature.
